,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,0,22.0,1,0,7.25,0
1,1,1,38.0,1,0,71.2833,1
2,3,1,26.0,0,0,7.925,0
3,1,1,35.0,1,0,53.1,0
4,3,0,35.0,0,0,8.05,0
5,3,0,-1.0,0,0,8.4583,2
6,1,0,54.0,0,0,51.8625,0
7,3,0,2.0,3,1,21.075,0
8,3,1,27.0,0,2,11.1333,0
9,2,1,14.0,1,0,30.0708,1
10,3,1,4.0,1,1,16.7,0
11,1,1,58.0,0,0,26.55,0
12,3,0,20.0,0,0,8.05,0
13,3,0,39.0,1,5,31.275,0
14,3,1,14.0,0,0,7.8542,0
15,2,1,55.0,0,0,16.0,0
16,3,0,2.0,4,1,29.125,2
17,2,0,-1.0,0,0,13.0,0
18,3,1,31.0,1,0,18.0,0
19,3,1,-1.0,0,0,7.225,1
20,2,0,35.0,0,0,26.0,0
21,2,0,34.0,0,0,13.0,0
22,3,1,15.0,0,0,8.0292,2
23,1,0,28.0,0,0,35.5,0
24,3,1,8.0,3,1,21.075,0
25,3,1,38.0,1,5,31.3875,0
26,3,0,-1.0,0,0,7.225,1
27,1,0,19.0,3,2,263.0,0
28,3,1,-1.0,0,0,7.8792,2
29,3,0,-1.0,0,0,7.8958,0
30,1,0,40.0,0,0,27.7208,1
31,1,1,-1.0,1,0,146.5208,1
32,3,1,-1.0,0,0,7.75,2
33,2,0,66.0,0,0,10.5,0
34,1,0,28.0,1,0,82.1708,1
35,1,0,42.0,1,0,52.0,0
36,3,0,-1.0,0,0,7.2292,1
37,3,0,21.0,0,0,8.05,0
38,3,1,18.0,2,0,18.0,0
39,3,1,14.0,1,0,11.2417,1
40,3,1,40.0,1,0,9.475,0
41,2,1,27.0,1,0,21.0,0
42,3,0,-1.0,0,0,7.8958,1
43,2,1,3.0,1,2,41.5792,1
44,3,1,19.0,0,0,7.8792,2
45,3,0,-1.0,0,0,8.05,0
46,3,0,-1.0,1,0,15.5,2
47,3,1,-1.0,0,0,7.75,2
48,3,0,-1.0,2,0,21.6792,1
49,3,1,18.0,1,0,17.8,0
50,3,0,7.0,4,1,39.6875,0
51,3,0,21.0,0,0,7.8,0
52,1,1,49.0,1,0,76.7292,1
53,2,1,29.0,1,0,26.0,0
54,1,0,65.0,0,1,61.9792,1
55,1,0,-1.0,0,0,35.5,0
56,2,1,21.0,0,0,10.5,0
57,3,0,28.5,0,0,7.2292,1
58,2,1,5.0,1,2,27.75,0
59,3,0,11.0,5,2,46.9,0
60,3,0,22.0,0,0,7.2292,1
62,1,0,45.0,1,0,83.475,0
63,3,0,4.0,3,2,27.9,0
64,1,0,-1.0,0,0,27.7208,1
65,3,0,-1.0,1,1,15.2458,1
66,2,1,29.0,0,0,10.5,0
67,3,0,19.0,0,0,8.1583,0
68,3,1,17.0,4,2,7.925,0
69,3,0,26.0,2,0,8.6625,0
70,2,0,32.0,0,0,10.5,0
71,3,1,16.0,5,2,46.9,0
72,2,0,21.0,0,0,73.5,0
73,3,0,26.0,1,0,14.4542,1
74,3,0,32.0,0,0,56.4958,0
75,3,0,25.0,0,0,7.65,0
76,3,0,-1.0,0,0,7.8958,0
77,3,0,-1.0,0,0,8.05,0
78,2,0,0.83,0,2,29.0,0
79,3,1,30.0,0,0,12.475,0
80,3,0,22.0,0,0,9.0,0
81,3,0,29.0,0,0,9.5,0
82,3,1,-1.0,0,0,7.7875,2
83,1,0,28.0,0,0,47.1,0
84,2,1,17.0,0,0,10.5,0
85,3,1,33.0,3,0,15.85,0
86,3,0,16.0,1,3,34.375,0
87,3,0,-1.0,0,0,8.05,0
88,1,1,23.0,3,2,263.0,0
89,3,0,24.0,0,0,8.05,0
90,3,0,29.0,0,0,8.05,0
91,3,0,20.0,0,0,7.8542,0
92,1,0,46.0,1,0,61.175,0
93,3,0,26.0,1,2,20.575,0
94,3,0,59.0,0,0,7.25,0
95,3,0,-1.0,0,0,8.05,0
96,1,0,71.0,0,0,34.6542,1
97,1,0,23.0,0,1,63.3583,1
98,2,1,34.0,0,1,23.0,0
99,2,0,34.0,1,0,26.0,0
100,3,1,28.0,0,0,7.8958,0
101,3,0,-1.0,0,0,7.8958,0
102,1,0,21.0,0,1,77.2875,0
103,3,0,33.0,0,0,8.6542,0
104,3,0,37.0,2,0,7.925,0
105,3,0,28.0,0,0,7.8958,0
106,3,1,21.0,0,0,7.65,0
107,3,0,-1.0,0,0,7.775,0
108,3,0,38.0,0,0,7.8958,0
109,3,1,-1.0,1,0,24.15,2
110,1,0,47.0,0,0,52.0,0
111,3,1,14.5,1,0,14.4542,1
112,3,0,22.0,0,0,8.05,0
113,3,1,20.0,1,0,9.825,0
114,3,1,17.0,0,0,14.4583,1
115,3,0,21.0,0,0,7.925,0
116,3,0,70.5,0,0,7.75,2
117,2,0,29.0,1,0,21.0,0
118,1,0,24.0,0,1,247.5208,1
119,3,1,2.0,4,2,31.275,0
120,2,0,21.0,2,0,73.5,0
121,3,0,-1.0,0,0,8.05,0
122,2,0,32.5,1,0,30.0708,1
123,2,1,32.5,0,0,13.0,0
124,1,0,54.0,0,1,77.2875,0
125,3,0,12.0,1,0,11.2417,1
126,3,0,-1.0,0,0,7.75,2
127,3,0,24.0,0,0,7.1417,0
128,3,1,-1.0,1,1,22.3583,1
129,3,0,45.0,0,0,6.975,0
130,3,0,33.0,0,0,7.8958,1
131,3,0,20.0,0,0,7.05,0
132,3,1,47.0,1,0,14.5,0
133,2,1,29.0,1,0,26.0,0
134,2,0,25.0,0,0,13.0,0
135,2,0,23.0,0,0,15.0458,1
136,1,1,19.0,0,2,26.2833,0
137,1,0,37.0,1,0,53.1,0
138,3,0,16.0,0,0,9.2167,0
139,1,0,24.0,0,0,79.2,1
140,3,1,-1.0,0,2,15.2458,1
141,3,1,22.0,0,0,7.75,0
142,3,1,24.0,1,0,15.85,0
143,3,0,19.0,0,0,6.75,2
144,2,0,18.0,0,0,11.5,0
145,2,0,19.0,1,1,36.75,0
146,3,0,27.0,0,0,7.7958,0
147,3,1,9.0,2,2,34.375,0
148,2,0,36.5,0,2,26.0,0
149,2,0,42.0,0,0,13.0,0
150,2,0,51.0,0,0,12.525,0
151,1,1,22.0,1,0,66.6,0
152,3,0,55.5,0,0,8.05,0
153,3,0,40.5,0,2,14.5,0
154,3,0,-1.0,0,0,7.3125,0
155,1,0,51.0,0,1,61.3792,1
156,3,1,16.0,0,0,7.7333,2
157,3,0,30.0,0,0,8.05,0
158,3,0,-1.0,0,0,8.6625,0
159,3,0,-1.0,8,2,69.55,0
160,3,0,44.0,0,1,16.1,0
161,2,1,40.0,0,0,15.75,0
162,3,0,26.0,0,0,7.775,0
163,3,0,17.0,0,0,8.6625,0
164,3,0,1.0,4,1,39.6875,0
165,3,0,9.0,0,2,20.525,0
166,1,1,-1.0,0,1,55.0,0
167,3,1,45.0,1,4,27.9,0
168,1,0,-1.0,0,0,25.925,0
169,3,0,28.0,0,0,56.4958,0
170,1,0,61.0,0,0,33.5,0
171,3,0,4.0,4,1,29.125,2
172,3,1,1.0,1,1,11.1333,0
173,3,0,21.0,0,0,7.925,0
174,1,0,56.0,0,0,30.6958,1
175,3,0,18.0,1,1,7.8542,0
176,3,0,-1.0,3,1,25.4667,0
177,1,1,50.0,0,0,28.7125,1
178,2,0,30.0,0,0,13.0,0
179,3,0,36.0,0,0,0.0,0
180,3,1,-1.0,8,2,69.55,0
181,2,0,-1.0,0,0,15.05,1
182,3,0,9.0,4,2,31.3875,0
183,2,0,1.0,2,1,39.0,0
184,3,1,4.0,0,2,22.025,0
185,1,0,-1.0,0,0,50.0,0
186,3,1,-1.0,1,0,15.5,2
187,1,0,45.0,0,0,26.55,0
188,3,0,40.0,1,1,15.5,2
189,3,0,36.0,0,0,7.8958,0
190,2,1,32.0,0,0,13.0,0
191,2,0,19.0,0,0,13.0,0
192,3,1,19.0,1,0,7.8542,0
193,2,0,3.0,1,1,26.0,0
194,1,1,44.0,0,0,27.7208,1
195,1,1,58.0,0,0,146.5208,1
196,3,0,-1.0,0,0,7.75,2
197,3,0,42.0,0,1,8.4042,0
198,3,1,-1.0,0,0,7.75,2
199,2,1,24.0,0,0,13.0,0
200,3,0,28.0,0,0,9.5,0
201,3,0,-1.0,8,2,69.55,0
202,3,0,34.0,0,0,6.4958,0
203,3,0,45.5,0,0,7.225,1
204,3,0,18.0,0,0,8.05,0
205,3,1,2.0,0,1,10.4625,0
206,3,0,32.0,1,0,15.85,0
207,3,0,26.0,0,0,18.7875,1
208,3,1,16.0,0,0,7.75,2
209,1,0,40.0,0,0,31.0,1
210,3,0,24.0,0,0,7.05,0
211,2,1,35.0,0,0,21.0,0
212,3,0,22.0,0,0,7.25,0
213,2,0,30.0,0,0,13.0,0
214,3,0,-1.0,1,0,7.75,2
215,1,1,31.0,1,0,113.275,1
216,3,1,27.0,0,0,7.925,0
217,2,0,42.0,1,0,27.0,0
218,1,1,32.0,0,0,76.2917,1
219,2,0,30.0,0,0,10.5,0
220,3,0,16.0,0,0,8.05,0
221,2,0,27.0,0,0,13.0,0
222,3,0,51.0,0,0,8.05,0
223,3,0,-1.0,0,0,7.8958,0
224,1,0,38.0,1,0,90.0,0
225,3,0,22.0,0,0,9.35,0
226,2,0,19.0,0,0,10.5,0
227,3,0,20.5,0,0,7.25,0
228,2,0,18.0,0,0,13.0,0
229,3,1,-1.0,3,1,25.4667,0
230,1,1,35.0,1,0,83.475,0
231,3,0,29.0,0,0,7.775,0
232,2,0,59.0,0,0,13.5,0
233,3,1,5.0,4,2,31.3875,0
234,2,0,24.0,0,0,10.5,0
235,3,1,-1.0,0,0,7.55,0
236,2,0,44.0,1,0,26.0,0
237,2,1,8.0,0,2,26.25,0
238,2,0,19.0,0,0,10.5,0
239,2,0,33.0,0,0,12.275,0
240,3,1,-1.0,1,0,14.4542,1
241,3,1,-1.0,1,0,15.5,2
242,2,0,29.0,0,0,10.5,0
243,3,0,22.0,0,0,7.125,0
244,3,0,30.0,0,0,7.225,1
245,1,0,44.0,2,0,90.0,2
246,3,1,25.0,0,0,7.775,0
247,2,1,24.0,0,2,14.5,0
248,1,0,37.0,1,1,52.5542,0
249,2,0,54.0,1,0,26.0,0
250,3,0,-1.0,0,0,7.25,0
251,3,1,29.0,1,1,10.4625,0
252,1,0,62.0,0,0,26.55,0
253,3,0,30.0,1,0,16.1,0
254,3,1,41.0,0,2,20.2125,0
255,3,1,29.0,0,2,15.2458,1
256,1,1,-1.0,0,0,79.2,1
257,1,1,30.0,0,0,86.5,0
258,1,1,35.0,0,0,512.3292,1
259,2,1,50.0,0,1,26.0,0
260,3,0,-1.0,0,0,7.75,2
261,3,0,3.0,4,2,31.3875,0
262,1,0,52.0,1,1,79.65,0
263,1,0,40.0,0,0,0.0,0
264,3,1,-1.0,0,0,7.75,2
265,2,0,36.0,0,0,10.5,0
266,3,0,16.0,4,1,39.6875,0
267,3,0,25.0,1,0,7.775,0
268,1,1,58.0,0,1,153.4625,0
269,1,1,35.0,0,0,135.6333,0
270,1,0,-1.0,0,0,31.0,0
271,3,0,25.0,0,0,0.0,0
272,2,1,41.0,0,1,19.5,0
273,1,0,37.0,0,1,29.7,1
274,3,1,-1.0,0,0,7.75,2
275,1,1,63.0,1,0,77.9583,0
276,3,1,45.0,0,0,7.75,0
277,2,0,-1.0,0,0,0.0,0
278,3,0,7.0,4,1,29.125,2
279,3,1,35.0,1,1,20.25,0
280,3,0,65.0,0,0,7.75,2
281,3,0,28.0,0,0,7.8542,0
282,3,0,16.0,0,0,9.5,0
283,3,0,19.0,0,0,8.05,0
284,1,0,-1.0,0,0,26.0,0
285,3,0,33.0,0,0,8.6625,1
286,3,0,30.0,0,0,9.5,0
287,3,0,22.0,0,0,7.8958,0
288,2,0,42.0,0,0,13.0,0
289,3,1,22.0,0,0,7.75,2
290,1,1,26.0,0,0,78.85,0
291,1,1,19.0,1,0,91.0792,1
292,2,0,36.0,0,0,12.875,1
293,3,1,24.0,0,0,8.85,0
294,3,0,24.0,0,0,7.8958,0
295,1,0,-1.0,0,0,27.7208,1
296,3,0,23.5,0,0,7.2292,1
297,1,1,2.0,1,2,151.55,0
298,1,0,-1.0,0,0,30.5,0
299,1,1,50.0,0,1,247.5208,1
300,3,1,-1.0,0,0,7.75,2
301,3,0,-1.0,2,0,23.25,2
302,3,0,19.0,0,0,0.0,0
303,2,1,-1.0,0,0,12.35,2
304,3,0,-1.0,0,0,8.05,0
305,1,0,0.92,1,2,151.55,0
306,1,1,-1.0,0,0,110.8833,1
307,1,1,17.0,1,0,108.9,1
308,2,0,30.0,1,0,24.0,1
309,1,1,30.0,0,0,56.9292,1
310,1,1,24.0,0,0,83.1583,1
311,1,1,18.0,2,2,262.375,1
312,2,1,26.0,1,1,26.0,0
313,3,0,28.0,0,0,7.8958,0
314,2,0,43.0,1,1,26.25,0
